"REF_DATE","GEO","DGUID","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2019-01","Toronto, Ontario","2016S05003530","Job vacancies","Number","223","units","0","v104272820","50.1","98370","A","","","0"
"2019-04","Toronto, Ontario","2016S05003530","Job vacancies","Number","223","units","0","v104272820","50.1","103085","A","","","0"
"2019-07","Toronto, Ontario","2016S05003530","Job vacancies","Number","223","units","0","v104272820","50.1","101345","A","","","0"
"2019-10","Toronto, Ontario","2016S05003530","Job vacancies","Number","223","units","0","v104272820","50.1","99070","A","","","0"
"2020-01","Toronto, Ontario","2016S05003530","Job vacancies","Number","223","units","0","v104272820","50.1","94760","A","","","0"
"2020-10","Toronto, Ontario","2016S05003530","Job vacancies","Number","223","units","0","v104272820","50.1","100840","A","","","0"
"2021-01","Toronto, Ontario","2016S05003530","Job vacancies","Number","223","units","0","v104272820","50.1","97250","A","","","0"
"2021-04","Toronto, Ontario","2016S05003530","Job vacancies","Number","223","units","0","v104272820","50.1","124755","A","","","0"
"2019-01","Toronto, Ontario","2016S05003530","Payroll employees","Number","223","units","0","v104272821","50.3","3122045","A","","","0"
"2019-04","Toronto, Ontario","2016S05003530","Payroll employees","Number","223","units","0","v104272821","50.3","3123765","A","","","0"
"2019-07","Toronto, Ontario","2016S05003530","Payroll employees","Number","223","units","0","v104272821","50.3","3165975","A","","","0"
"2019-10","Toronto, Ontario","2016S05003530","Payroll employees","Number","223","units","0","v104272821","50.3","3243420","A","","","0"
"2020-01","Toronto, Ontario","2016S05003530","Payroll employees","Number","223","units","0","v104272821","50.3","3241710","A","","","0"
"2020-10","Toronto, Ontario","2016S05003530","Payroll employees","Number","223","units","0","v104272821","50.3","2936150","A","","","0"
"2021-01","Toronto, Ontario","2016S05003530","Payroll employees","Number","223","units","0","v104272821","50.3","2954075","A","","","0"
"2021-04","Toronto, Ontario","2016S05003530","Payroll employees","Number","223","units","0","v104272821","50.3","3003400","A","","","0"
"2019-01","Toronto, Ontario","2016S05003530","Job vacancy rate","Percentage","242","units","0","v104272822","50.4","3.1","A","","","1"
"2019-04","Toronto, Ontario","2016S05003530","Job vacancy rate","Percentage","242","units","0","v104272822","50.4","3.2","A","","","1"
"2019-07","Toronto, Ontario","2016S05003530","Job vacancy rate","Percentage","242","units","0","v104272822","50.4","3.1","A","","","1"
"2019-10","Toronto, Ontario","2016S05003530","Job vacancy rate","Percentage","242","units","0","v104272822","50.4","3.0","A","","","1"
"2020-01","Toronto, Ontario","2016S05003530","Job vacancy rate","Percentage","242","units","0","v104272822","50.4","2.8","A","","","1"
"2020-10","Toronto, Ontario","2016S05003530","Job vacancy rate","Percentage","242","units","0","v104272822","50.4","3.3","A","","","1"
"2021-01","Toronto, Ontario","2016S05003530","Job vacancy rate","Percentage","242","units","0","v104272822","50.4","3.2","A","","","1"
"2021-04","Toronto, Ontario","2016S05003530","Job vacancy rate","Percentage","242","units","0","v104272822","50.4","4.0","A","","","1"
"2019-01","Toronto, Ontario","2016S05003530","Average offered hourly wage","Dollars","81","units","0","v104272823","50.5","24.20","A","","","2"
"2019-04","Toronto, Ontario","2016S05003530","Average offered hourly wage","Dollars","81","units","0","v104272823","50.5","23.80","A","","","2"
"2019-07","Toronto, Ontario","2016S05003530","Average offered hourly wage","Dollars","81","units","0","v104272823","50.5","23.95","A","","","2"
"2019-10","Toronto, Ontario","2016S05003530","Average offered hourly wage","Dollars","81","units","0","v104272823","50.5","24.30","A","","","2"
"2020-01","Toronto, Ontario","2016S05003530","Average offered hourly wage","Dollars","81","units","0","v104272823","50.5","25.40","A","","","2"
"2020-10","Toronto, Ontario","2016S05003530","Average offered hourly wage","Dollars","81","units","0","v104272823","50.5","24.70","A","","","2"
"2021-01","Toronto, Ontario","2016S05003530","Average offered hourly wage","Dollars","81","units","0","v104272823","50.5","26.45","A","","","2"
"2021-04","Toronto, Ontario","2016S05003530","Average offered hourly wage","Dollars","81","units","0","v104272823","50.5","26.05","A","","","2"


