Month,Year,employedNum
January,2019,1426000
February,2019,1389000
March,2019,1393000
April,2019,1412000
May,2019,1421000
June,2019,1426000
July,2019,1435000
August,2019,1426000
September,2019,1426000
October,2019,1417000
November,2019,1411000
December,2019,1405000
January,2020,1255000
February,2020,1419000
March,2020,1405000
April,2020,1351000
May,2020,1278000
June,2020,1255000
July,2020,1260000
August,2020,1279000
September,2020,1284000
October,2020,1298000
November,2020,1320000
December,2020,1333000
January,2021,1348000
February,2021,1348000
March,2021,1365000
April,2021,1369000
May,2021,1364000
June,2021,1348000
July,2021,0
August,2021,0
September,2021,0
October,2021,0
November,2021,0
December,2021,0
