Month,Year,numEIBeneficiaries
January,2019,20680
February,2019,21110
March,2019,22370
April,2019,17560
May,2019,15720
June,2019,15140
July,2019,22700
August,2019,23400
September,2019,14450
October,2019,14340
November,2019,15270
December,2019,17600
January,2020,21380
February,2020,21450
March,2020,27220
April,2020,27340
May,2020,21830
June,2020,15750
July,2020,12370
August,2020,8900
September,2020,5650
October,2020,86940
November,2020,90480
December,2020,104580
January,2021,119670
February,2021,123890
March,2021,112800
April,2021,120680
May,2021,118170
June,2021,105540
July,2021,0
August,2021,0
September,2021,0
October,2021,0
November,2021,0
December,2021,0
