Month,Year,numNewBusinessLicencesIssued
January,2019,677
February,2019,1316
March,2019,2111
April,2019,2901
May,2019,3707
June,2019,4441
July,2019,5209
August,2019,5819
September,2019,6456
October,2019,7244
November,2019,7907
December,2019,8571
January,2020,706
February,2020,1253
March,2020,1626
April,2020,1626
May,2020,1645
June,2020,1707
July,2020,1875
August,2020,2200
September,2020,2612
October,2020,2978
November,2020,3305
December,2020,3609
January,2021,294
February,2021,558
March,2021,948
April,2021,1239
May,2021,1563
June,2021,1887
July,2021,0
August,2021,0
September,2021,0
October,2021,0
November,2021,0
December,2021,0
