Month,Year,percentageVacantOfficeSpace
January,2019,4.1
February,2019,4.1
March,2019,4.1
April,2019,4.2
May,2019,4.2
June,2019,4.2
July,2019,4.1
August,2019,4.1
September,2019,4.1
October,2019,3.9
November,2019,3.9
December,2019,3.9
January,2020,3.8
February,2020,3.8
March,2020,3.8
April,2020,4.0
May,2020,4.0
June,2020,4.0
July,2020,5.9
August,2020,5.9
September,2020,5.9
October,2020,7.4
November,2020,7.4
December,2020,7.4
January,2021,9.4
February,2021,9.4
March,2021,9.4
April,2021,10.2
May,2021,10.2
June,2021,10.2
July,2021,0
August,2021,0
September,2021,0
October,2021,0
November,2021,0
December,2021,0
