Month,Year,employmentRate,numEmployed,avgHours,percentageSelfEmployed,percentageVacantOfficeSpace,numEIBeneficiaries,numBusinessLicencesRenewed,businessBankruptcies,numNewBusinessLicencesIssued,numTorontoHomesSold
January,2019,57.8,1383000,35.59,17.5,4.1,20680,3859,60,677,1422
February,2019,57.8,1389000,35.04,16.9,4.1,21110,7383,103,1316,3301
March,2019,58.3,1393000,35.47,16.9,4.1,22370,12034,176,2111,5846
April,2019,59.7,1412000,31.03,17.3,4.2,17560,16074,247,2901,9080
May,2019,60.9,1421000,35.95,17.7,4.2,15720,20308,315,3707,12795
June,2019,61.8,1426000,36.41,18.0,4.2,15140,23881,360,4441,15996
July,2019,62.2,1435000,35.9,18.2,4.1,22700,27652,414,5209,19106
August,2019,61.9,1426000,36.28,18.5,4.1,23400,31201,464,5819,21659
September,2019,61.7,1426000,36.5,18.5,4.1,14450,34883,514,6456,24654
October,2019,60.9,1417000,32.16,18.2,3.9,14340,38724,561,7244,27949
November,2019,60.2,1411000,35.34,17.1,3.9,15270,41516,614,7907,30667
December,2019,59.5,1405000,36.26,15.8,3.9,17600,45776,652,8571,32340
January,2020,59.4,1406000,35.76,15.0,3.8,21380,4124,46,706,1603
February,2020,59.5,1419000,35.22,14.8,3.8,21450,7790,101,1253,4080
March,2020,58.4,1405000,35.2,15.3,3.8,27220,10431,145,1626,6851
April,2020,56.2,1351000,35.93,16.4,4.0,27340,11470,182,1626,7887
May,2020,53.6,1278000,37.34,17.4,4.0,21830,14211,237,1645,9378
June,2020,53.4,1255000,36.54,18.4,4.0,15750,15423,279,1707,12208
July,2020,54.2,1260000,36.26,17.6,5.9,12370,18853,328,1875,15785
August,2020,55.5,1279000,35.66,17.2,5.9,8900,24809,370,2200,19150
September,2020,56.5,1284000,36.21,16.9,5.9,5650,29898,408,2612,22705
October,2020,57.8,1298000,34.63,17.5,7.4,86940,33797,454,2978,26219
November,2020,58.4,1320000,35.81,18.2,7.4,90480,36095,490,3305,29251
December,2020,58.1,1333000,36.63,17.9,7.4,104580,39075,536,3609,31964
January,2021,57.4,1345000,36.42,17.6,9.4,119670,3400,36,294,2665
February,2021,56.7,1348000,34.47,16.7,9.4,123890,6386,68,558,6406
March,2021,56.3,1365000,36.17,16.2,9.4,112800,9245,93,948,11536
April,2021,56.9,1369000,36.16,16.0,10.2,120680,11913,128,1239,16230
May,2021,57.6,1364000,36.75,16.0,10.2,118170,15254,163,1563,20348
June,2021,58.2,1348000,36.63,16.2,10.2,105540,18856,196,1887,24198
July,2021,0.0,0,0.0,0.0,0.0,0,0,0,0,0
August,2021,0.0,0,0.0,0.0,0.0,0,0,0,0,0
September,2021,0.0,0,0.0,0.0,0.0,0,0,0,0,0
October,2021,0.0,0,0.0,0.0,0.0,0,0,0,0,0
November,2021,0.0,0,0.0,0.0,0.0,0,0,0,0,0
December,2021,0.0,0,0.0,0.0,0.0,0,0,0,0,0
